Number comments,Tier,Title,Votes,Date
44,staff,Rolling Leaderboards,83,2013-11-05 23:15:34.543000000
0,contributor,Sample Pandas Tutuorial for newbies,1,2018-07-13 04:16:23.208789800
2,contributor,DEEP LEARNING + ANN + TITANIC DATASET,3,2018-07-12 20:42:37.410000000
5,contributor,Active Slack Community For Beginners And Experts,1,2018-07-12 20:30:36.858815800
0,novice,Looking for a team,0,2018-07-12 13:18:11.748600300
4,novice,How can I improve my accuracy further?,0,2018-07-12 11:40:33.368798000
30,novice,"For all newbies to learn ML together, I have created a slack workspace.",0,2018-07-12 06:54:47.926291700
1,contributor,How To Improve the 82.3% Ticket Grouping Model?,0,2018-07-12 06:01:24.346199000
0,contributor,"82.3% Using ticket, fare, Pclass and embarked",2,2018-07-12 03:27:43.070000000
0,novice,Titanic,1,2018-07-11 20:33:23.263000000
2,novice,EDA  For Titanic Data Chanllege,12,2018-07-11 05:43:53.883000000
4,novice,Need to merge Train Test Data or not?,0,2018-07-10 06:12:38.251063300
0,novice,Titanic Prediction Using Ensemble Learning ,0,2018-07-09 03:15:32.060000000
0,contributor,Titanic_Solution,0,2018-07-08 13:27:43.717000000
0,novice,Titanic survivor problem,0,2018-07-08 06:33:21.527000000
0,novice,Titanic_Survivor_Prediction,2,2018-07-08 05:03:58.520000000
4,contributor,How to perform stacking classification,1,2018-07-07 17:01:27.462071700
2,novice,80.8% with logistic regression only,4,2018-07-07 13:16:28.656588500
13,contributor,Is there a place where all the newbies can team up to help each other learn?,3,2018-07-06 20:32:12.692375800
6,novice,Simple Logistic Classifier yields 75% accuracy; how to improve?,1,2018-07-06 16:31:25.722510100
4,contributor,Titanic Dataset Using Deep Neural Networks,2,2018-07-06 13:26:11.953000000
0,novice,Issue with feature names mismatch when running on test data,0,2018-07-06 12:43:03.881883200
1,novice,Merging Datasts,0,2018-07-05 17:26:54.863475900
6,novice,Who survives?,6,2018-07-05 12:48:22.180000000
2,contributor,RandomForestClassifier with GridSearchCV,4,2018-07-05 02:39:18.550000000
1,expert,How to build a deep neural network Titanic,1,2018-07-04 17:58:32.465379900
3,contributor,Overfitting on the accuracy,1,2018-07-03 20:19:19.342354600
0,novice,ML_Titanic,0,2018-07-03 00:03:44.187000000
2,contributor,4 features  77% accuracy,2,2018-07-02 18:33:16.977000000
1,novice,Accuracy issue,0,2018-07-01 23:50:37.856364100
0,expert,Submarineering.MonteCarlo TUTO,0,2018-07-01 22:50:42.533970300
3,expert,Titanic Deep Net [0.82296],4,2018-07-01 20:53:31.047000000
0,novice,RMS Titanic,3,2018-07-01 07:51:45.147000000
0,novice,titanic_sklearn,0,2018-07-01 04:01:20.620000000
5,contributor,KNN model on titanic dataset,0,2018-06-30 08:09:03.925344700
0,novice,kernel_Titanic_SVM,0,2018-06-29 14:42:22.830000000
2,contributor,ValueError: array length 357 does not match index length 418,0,2018-06-29 13:40:58.753221500
0,contributor,ensemble method,0,2018-06-28 15:15:06.390000000
0,novice,Titanic - Deep Learning,3,2018-06-28 13:16:42.433000000
2,novice,Saving file format issue.,1,2018-06-27 20:34:53.868216600
2,contributor,Beginner for Machine Learning r,12,2018-06-27 16:07:47.007000000
2,contributor,Titanic Survival Model,0,2018-06-27 10:18:02.907000000
0,contributor,1st Kernel,2,2018-06-25 20:53:57.470000000
15,novice,Looking to join a good team,0,2018-06-25 10:32:35.277535000
3,novice,Naive Bayes(91.6),0,2018-06-25 06:59:17.557000000
0,novice,Team_Cast(Naive Bayes),3,2018-06-24 03:35:03.197000000
0,contributor,Titanic-randomForest,1,2018-06-23 16:16:05.593000000
2,novice,Data Imputation in R,0,2018-06-22 06:08:25.273580800
2,contributor, What would be the ideal track in this project for beginners?,1,2018-06-22 01:40:08.511623800
1,contributor,Anybody have an idea how the people with kernels \u003e 0.85167 are doing it?,0,2018-06-21 14:42:26.240005000
1,contributor,External use of data for teaching purposes,0,2018-06-21 12:13:59.152951200
0,contributor,Titanic dataset,0,2018-06-19 22:06:33.367000000
2,novice,Titanic Dataset predictions with machine learning,0,2018-06-19 08:02:37.417000000
8,contributor,My Heart Will Go On~Titanic Disaster(GridSearchCV),3,2018-06-19 06:38:44.613000000
10,contributor,I am looking for a dedicated team.,0,2018-06-18 04:43:34.608100300
2,contributor,Best data-set to get started ,1,2018-06-17 16:00:12.389259000
6,novice,how to deal with null values of age column??,1,2018-06-17 15:41:29.447823900
1,novice,ValueError: could not convert string to float: \u0027Iris-virginica\u0027,0,2018-06-17 07:46:32.570439900
11,contributor,First Project,1,2018-06-16 03:28:03.422635100
1,contributor,"People with perfect scores, cheating?",1,2018-06-15 20:12:41.697218000
4,contributor,"Precision = 0.95, how\u0027s that even possible ??",0,2018-06-14 17:10:05.898546300
2,novice,Pie chart for (fe)male % survived,0,2018-06-13 17:52:31.040211500
0,novice,titanic - Try to make complex,0,2018-06-13 12:17:11.460000000
0,novice,titanic - A beginner\u0027s simple implementation,0,2018-06-13 12:13:31.757000000
0,contributor,Please someone Look into this and tell the ERROR ,0,2018-06-13 10:56:46.847000000
0,contributor,Setup for Beginner ,1,2018-06-12 20:22:55.569644300
6,contributor,First try on Titanic,3,2018-06-12 16:51:30.543000000
0,contributor,DAI June 2018: Workshop Notebook 2,9,2018-06-12 04:16:43.400000000
2,novice,Looking for R Titanic Spain Team ,0,2018-06-11 20:20:56.626396300
4,novice,Titanic with Family Survival + TPOT [0.81818],5,2018-06-11 15:38:30.590000000
3,contributor,Data Science Process: Using Titanic Survivor data,10,2018-06-11 03:20:05.360000000
0,contributor,"processed some NA , added Variable \u0022Famile_Size\u0022",0,2018-06-10 11:19:13.670000000
5,expert,Titanic WCG+XGBoost [0.84688],9,2018-06-09 20:52:17.013000000
0,contributor,A Statistical Analysis of Titanic with ML Models,1,2018-06-08 06:33:46.130000000
8,novice,I\u0027m looking for a team,0,2018-06-07 19:18:24.984295300
